id,inventory_number,collection_name,inventory_name,inventory_id,inventory_uuid,inventory_extra,image_uuid,image_iiif
ccbe88d9-905a-5711-a2f2-a5a5c8fafa12,NL-HaNA_1.11.01.01_0121_26V,1.11.01.01,,121,,26V,,
17bbf67f-eaf4-5b0a-a671-ba22c6268672,NL-HaNA_1.11.01.01_0121_41V-42,1.11.01.01,,121,,41V-42,,
06af71a3-1b75-54c8-aae8-0f1fc816d3ee,NL-HaNA_1.11.01.01_0121_59V-60,1.11.01.01,,121,,59V-60,,
e94f6cd1-99ad-56f9-ad90-4078256693e5,NL-HaNA_1.11.01.01_0215_kaart_01,1.11.01.01,,kaart,,1,,
323541b2-2d6c-53e8-b42a-10ec9a92a212,NL-HaNA_1.11.01.01_0215_kaart_02,1.11.01.01,,kaart,,2,,
402756d5-da9c-5fc1-927f-2c90d2738c92,NL-HaNA_1.11.01.01_0215_kaart_03,1.11.01.01,,kaart,,3,,
39ddb8fd-f92d-53d4-a385-bca9bc35344c,NL-HaNA_1.11.01.01_0215_kaart_04,1.11.01.01,,kaart,,4,,
b65e05f4-163d-5ca0-8d44-bbf075ee13f9,NL-HaNA_1.11.01.01_0215_kaart_05,1.11.01.01,,kaart,,5,,
762bae40-a36d-527d-97ec-9614a76d442b,NL-HaNA_1.11.01.01_0215_kaart_06,1.11.01.01,,kaart,,6,,
3a3a0edd-3f90-57fe-960b-e78a5ca84e65,NL-HaNA_1.11.01.01_0215_kaart_07,1.11.01.01,,kaart,,7,,
b9e5c0a2-ed54-5164-a5b7-8d14a68c9a82,NL-HaNA_1.11.01.01_0215_kaart_08,1.11.01.01,,kaart,,8,,
c25c92b3-ef22-54c4-8025-71d60e97c2e3,NL-HaNA_1.11.01.01_0215_kaart_09,1.11.01.01,,kaart,,9,,
add6be8b-f5cc-57e6-b5ef-1b9bc104c938,NL-HaNA_1.11.01.01_0215_kaart_10,1.11.01.01,,kaart,,10,,
4f31b943-9043-5ba4-b235-74b52db3c52d,NL-HaNA_1.11.01.01_0215_kaart_11,1.11.01.01,,kaart,,11,,
73c35815-0e74-5315-8f61-35e762d95ec6,NL-HaNA_1.11.01.01_0215_kaart_12,1.11.01.01,,kaart,,12,,
a456ccb8-ea69-5bea-a615-2a4b9429d4ec,NL-HaNA_1.11.01.01_0215_kaart_13,1.11.01.01,,kaart,,13,,
bf1a2888-399f-55e0-8171-d5c5a0f01927,NL-HaNA_1.11.01.01_0215_kaart_14,1.11.01.01,,kaart,,14,,
8a701a3a-7473-5941-a237-9b87d2417cb7,NL-HaNA_1.11.01.01_0215_kaart_15,1.11.01.01,,kaart,,15,,
a384933f-7e7e-5286-a738-f943a2ba4da2,NL-HaNA_1.11.01.01_0215_kaart_16,1.11.01.01,,kaart,,16,,
bab6fe68-fd8e-5044-9443-70520ddcc408,NL-HaNA_1.11.01.01_0256_fol.009V,1.11.01.01,,256,,fol.009V,,
c506c0b9-8be5-5896-9085-d628d42a84d9,NL-HaNA_1.11.01.01_0256_fol.038,1.11.01.01,,256,,fol.038,,
8b123a16-15b9-51ff-bb3d-5b08ef29310d,NL-HaNA_1.11.01.01_0461_fol.14V-15,1.11.01.01,,461,,fol.14V-15,,
c06929b9-d944-5f0a-94d3-aa3259999178,NL-HaNA_1.11.01.01_0598_kaart_08,1.11.01.01,,kaart,,8,,
1d80f7a1-0861-54f3-a71a-7716bb22211b,NL-HaNA_1.11.01.01_0599.1,1.11.01.01,,599.1,,,,
aa818617-5408-57f8-9e79-b46d533c94e7,NL-HaNA_1.11.01.01_0599.2,1.11.01.01,,599.2,,,,
fbd41fdb-2f5e-59dc-bbc2-73b802d0dc31,NL-HaNA_1.11.01.01_0599.3_kaart_07,1.11.01.01,,kaart,,7,,
249024fb-8ee6-5ffc-90a9-febc9d696db5,NL-HaNA_1.11.01.01_0600_kaart_02,1.11.01.01,,kaart,,2,,
74940935-464e-53a4-a213-37ff3f7f71ed,NL-HaNA_1.11.01.01_0600_kaart_05,1.11.01.01,,kaart,,5,,
bd036fac-0a21-5d1c-bdb6-f01905be3a4c,NL-HaNA_1.11.01.01_0600_kaart_06,1.11.01.01,,kaart,,6,,
72449115-8665-5014-a6b7-918c44bf36f4,NL-HaNA_1.11.01.01_0600_kaart_09,1.11.01.01,,kaart,,9,,
479f0a69-86d6-589c-b459-7f8a49ad4c9e,NL-HaNA_1.11.01.01_0600_kaart_10,1.11.01.01,,kaart,,10,,
82368e2c-1cbb-5b0d-b569-18f021df69b2,NL-HaNA_1.11.01.01_1522_kaart_4,1.11.01.01,,kaart,,4,,
cde5b442-7cf3-5739-bdb2-16569c69101a,NL-HaNA_1.11.01.01_1523_kaart_4,1.11.01.01,,kaart,,4,,
5dd09c79-60ff-51eb-8a72-bd797a1bd8d9,NL-HaNA_2.21.271_839,2.21.271,,839,,,,
06113b12-05ea-59aa-8ad2-f0597dfd4bce,NL-HaNA_4.AANW_0030,4.AANW,,30,,,,
